Urls,Authors,Titles,Reviews,Votes,Average_rating,Number_of_Rated_people
https://www.goodreads.com/book/show/2767052-the-hunger-games,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",3212081,32719,4.32,7181656
https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2799884,28621,4.5,2853483
https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,Harper Lee,To Kill a Mockingbird,2426228,24916,4.27,5117489
https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,Jane Austen,Pride and Prejudice,2207733,22722,4.27,3476749
https://www.goodreads.com/book/show/41865.Twilight,Stephenie Meyer,"Twilight (The Twilight Saga, #1)",1522705,15520,3.62,5589025
https://www.goodreads.com/book/show/19063.The_Book_Thief,Markus Zusak,The Book Thief,1518544,15649,4.38,2108801
https://www.goodreads.com/book/show/170448.Animal_Farm,George Orwell,Animal Farm,1370428,14223,3.97,3163230
https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,C.S. Lewis,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",1305256,13630,4.25,579688
https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,1258666,13113,4.6,120333
https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,John Green,The Fault in Our Stars,1168668,12122,4.17,4165878
https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Margaret Mitchell,Gone with the Wind,1113866,11482,4.3,1141034
https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",1106733,11440,4.22,1608863
https://www.goodreads.com/book/show/370493.The_Giving_Tree,Shel Silverstein,The Giving Tree,1067528,11067,4.37,999357
https://www.goodreads.com/book/show/6185.Wuthering_Heights,Emily Brontë,Wuthering Heights,1042169,10901,3.87,1516342
