iter	Passed	Remaining
0	7	765
1	15	771
2	22	713
3	27	655
4	33	633
5	38	606
6	43	580
7	54	622
8	60	608
9	67	611
10	72	589
11	79	580
12	83	558
13	87	538
14	92	524
15	98	516
16	102	500
17	107	487
18	113	485
19	118	472
20	122	460
21	128	456
22	133	445
23	137	434
24	145	435
25	149	425
26	153	416
27	160	412
28	164	403
29	170	397
30	176	392
31	181	386
32	186	378
33	192	373
34	196	365
35	201	359
36	207	353
37	212	346
38	216	339
39	226	339
40	231	333
41	237	328
42	247	327
43	256	326
44	262	321
45	269	316
46	275	310
47	279	302
48	286	298
49	290	290
50	295	283
51	304	281
52	310	275
53	319	271
54	323	264
55	328	257
56	337	254
57	342	247
58	351	244
59	362	241
60	370	236
61	379	232
62	385	226
63	396	223
64	401	216
65	408	210
66	413	203
67	418	196
68	423	190
69	428	183
70	432	176
71	437	170
72	443	163
73	451	158
74	458	152
75	464	146
76	468	140
77	476	134
78	480	127
79	486	121
80	491	115
81	495	108
82	500	102
83	506	96
84	511	90
85	515	83
86	522	78
87	529	72
88	535	66
89	540	60
90	545	53
91	550	47
92	555	41
93	560	35
94	566	29
95	570	23
96	577	17
97	583	11
98	588	5
99	593	0
